url,domain,n_referenciada_por,ids_referenciantes,campos_origem
https://agenciapara.com.br/noticia/34987/seduc-promove-formacao-continuada-sobre-programa-trilhas-no-para,agenciapara.com.br,1,FRM-CP-2026-EDU-0146,fonte_url
https://api.arca.fiocruz.br/api/core/bitstreams/823bdc3b-7030-4a1f-a517-19925d631826/content,api.arca.fiocruz.br,1,FRM-CP-2026-EDU-0037,informacoes_complementares
https://arquivo.proderj.rj.gov.br/emop_imagens/site/bs_visualiza.asp?id=736,arquivo.proderj.rj.gov.br,1,FRM-CP-2026-TRAB-0037,fonte_url
https://atendimento.educacao.sp.gov.br/knowledgebase/article/SED-08102/pt-br,atendimento.educacao.sp.gov.br,1,FRM-CP-2026-EDU-0021,fonte_url
https://atualmt.com.br/2026/03/18/seja-pro-trabalho-e-emprego-amplia-qualificacao-profissional-em-pernambuco,atualmt.com.br,1,FRM-CP-2026-TRAB-0144,fonte_url
https://belt.al.ce.gov.br/index.php/legislacao-do-ceara/denominacao-de-equipamentos-publicos/item/download/2557_3186959b85710af0a5f386183eca33e8,belt.al.ce.gov.br,1,FRM-CP-2026-EDU-0174,fonte_url
https://belt.al.ce.gov.br/index.php/legislacao-do-ceara/organizacao-tematica/direitos-humanos-e-cidadania/item/7346-lei-n-18-037-22-04-22-d-o-22-04-22,belt.al.ce.gov.br,1,FRM-CP-2026-TRAB-0147,fonte_url
https://cnm.org.br/comunicacao/noticias/cons%C3%B3rcio-da-juventude-%C3%A9-implantado-em-30-munic%C3%ADpios-mineiros,cnm.org.br,1,FRM-CP-2026-TRAB-0003,fonte_url
https://desenvolvimento.mg.gov.br/inicio/projetos/projeto/1143,desenvolvimento.mg.gov.br,1,FRM-CP-2026-TRAB-0049,fonte_url
https://doweb.rio.rj.gov.br/apifront/portal/edicoes/imprimir_materia/837253/5353,doweb.rio.rj.gov.br,1,FRM-CP-2026-EDU-0043,fonte_url
https://educacao.rs.gov.br/carta-de-servicos/servicos?servico=2259,educacao.rs.gov.br,1,FRM-CP-2026-EDU-0090,fonte_url
https://educacao.rs.gov.br/neejas-nucleos-estaduais-de-educacao-de-jovens-e-adultos,educacao.rs.gov.br,1,FRM-CP-2026-EDU-0091,fonte_url
https://egpa.pa.gov.br/noticias/projeto-mundiar-desenvolve-aprendizado-multidisciplinar,egpa.pa.gov.br,1,FRM-CP-2026-EDU-0130,fonte_url
https://escola.rs.gov.br/matriculas,escola.rs.gov.br,1,FRM-CP-2026-EDU-0092,fonte_url
https://falapernambuco.com.br/2025/12/23/pernambuco-sem-fome-completa-dois-anos-com-avancos-no-combate-a-inseguranca-alimentar,falapernambuco.com.br,1,FRM-CP-2026-PSOC-0082,informacoes_complementares
https://feccompar.com.br/biblioteca/plano-estadual-de-educacao-no-sistema-prisional-do-parana,feccompar.com.br,1,FRM-CP-2026-EDU-0074,fonte_url
https://fgtas.rs.gov.br/sistema-nacional-de-emprego,fgtas.rs.gov.br,1,FRM-CP-2026-TRAB-0080,fonte_url
https://fgtas.rs.gov.br/agencias-fgtas-sine,fgtas.rs.gov.br,1,FRM-CP-2026-TRAB-0080,informacoes_complementares
